movie_name,overview,ranking,score,score_num
未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,174,8.8,105823人评价
一次别离,只有有信仰的人才能说出事实真相。,175,8.7,139767人评价
追随,诺兰的牛逼来源于内心散发出的恐惧。,176,8.9,86519人评价
撞车,天使与魔鬼的冲撞。,177,8.6,182471人评价
可可西里,坚硬的信仰。,178,8.7,136420人评价
战争之王,做一颗让别人需要你的棋子。,179,8.5,183615人评价
恐怖游轮,不要企图在重复中寻找已经失去的爱。,180,8.3,347674人评价
地球上的星星,天使保护事件始末。,181,8.8,90841人评价
达拉斯买家俱乐部,Jared Leto的腿比女人还美！,182,8.7,178623人评价
被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,183,8.6,273441人评价
梦之安魂曲,一场没有春天的噩梦。,184,8.7,117686人评价
小萝莉的猴神大叔,,185,8.6,166343人评价
牯岭街少年杀人事件,弱者送给弱者的一刀。,186,8.7,113567人评价
谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,187,8.5,202037人评价
魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,188,8.5,206785人评价
房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,189,8.8,166989人评价
谍影重重2,谁说王家卫镜头很晃？,190,8.5,167764人评价
头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,191,8.7,242684人评价
惊魂记,故事的反转与反转，分裂电影的始祖。,192,8.9,88534人评价
忠犬八公物语,养狗三日，便会对你终其一生。,193,9.0,64201人评价
再次出发之纽约遇见你,爱我就给我看你的播放列表。,194,8.5,181567人评价
青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,195,8.4,233860人评价
碧海蓝天,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,196,8.7,111007人评价
阿飞正传,王家卫是一种风格，张国荣是一个代表。,197,8.5,195219人评价
东京物语,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,198,9.2,54197人评价
哪吒闹海,想你时你在闹海。,199,8.9,85485人评价
秒速5厘米,青春就是放弃和怀念。,200,8.3,315196人评价
末路狂花,没有了退路，只好飞向自由。,201,8.7,110654人评价
模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,202,8.6,270258人评价
源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,203,8.3,427437人评价
终结者2：审判日,少见的超越首部的续集，动作片中的经典。,204,8.6,148346人评价
海盗电台,生命不止，摇滚不死。,205,8.6,170824人评价
绿里奇迹,天使暂时离开。,206,8.7,111971人评价
一个叫欧维的男人决定去死,惠及一生的美丽。,207,8.7,128623人评价
黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,208,8.5,164510人评价
新龙门客栈,嬉笑怒骂，调风动月。,209,8.5,194075人评价
你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,210,8.4,502898人评价
勇闯夺命岛,类型片的极致。 ,211,8.5,148103人评价
这个男人来自地球,科幻真正的魅力不是视觉效果能取代的。 ,212,8.5,191858人评价
卡萨布兰卡,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,213,8.6,130385人评价
城市之光,永远的小人物，伟大的卓别林。,214,9.2,46899人评价
变脸,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,215,8.4,223326人评价
无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,216,8.4,233474人评价
初恋这件小事,黑小鸭速效美白记。,217,8.3,484092人评价
发条橙,我完全康复了。,218,8.4,193946人评价
E.T. 外星人,生病的E.T.皮肤的颜色就像柿子饼。,219,8.5,160855人评价
